BHK,Total Area,Price,bedroom
1 BHK Apartment in Sector 36 Kharghar,"550 sq.ft.
(51 sq.m.) Built-up Area","₹ 35 L
₹ 6,363/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Jijamata Nagar,"1,275 sq.ft.
(118 sq.m.) Super built-up Area","₹ 1.6 Cr
₹ 12,549/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Jijamata Nagar,"1,800 sq.ft.
(167 sq.m.) Super built-up Area","₹ 2.18 Cr
₹ 12,111/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Jijamata Nagar,"1,650 sq.ft.
(153 sq.m.) Super built-up Area","₹ 2.55 Cr
₹ 15,454/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Kamothe,"700 sq.ft.
(65 sq.m.) Super built-up Area","₹ 57 L
₹ 8,142/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Panvel,"1,376 sq.ft.
(128 sq.m.) Super built-up Area","₹ 70 L
₹ 5,087/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 17 Ulwe,"1,480 sq.ft.
(138 sq.m.) Super built-up Area","₹ 1.27 Cr
₹ 8,581/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Kharghar,"1,300 sq.ft.
(121 sq.m.) Super built-up Area","₹ 1.5 Cr
₹ 11,538/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-20 Koparkhairane,"700 sq.ft.
(65 sq.m.) Carpet Area","₹ 85 L
₹ 12,142/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-18 Ulwe,"1,680 sq.ft.
(156 sq.m.) Super built-up Area","₹ 1.5 Cr
₹ 8,913/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Ulwe,"690-700 sq.ft.
(64-65 sq.m.) Super built-up Area","₹ 45.54 - 46.2 L
₹ 6,600/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Ghansoli,"415 sq.ft.
(39 sq.m.) Carpet Area","₹ 85 L
₹ 20,481/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Ranjanpada,"1,527 sq.ft.
(142 sq.m.) Super built-up Area","₹ 1.45 Cr
₹ 9,495/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 12 Kharghar,"809 sq.ft.
(75 sq.m.) Built-up Area","₹ 95 L
₹ 11,742/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-18 Ulwe,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 88 L
₹ 8,000/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 1.3 Cr
₹ 11,304/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 35I Kharghar,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 1 Cr
₹ 8,695/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 1 Ghansoli,"450 sq.ft.
(42 sq.m.) Built-up Area","₹ 43 L
₹ 9,555/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 23 Ulwe,"700 sq.ft.
(65 sq.m.) Built-up Area","₹ 52 L
₹ 7,428/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Airoli sector 29c,"1,000 sq.ft.
(93 sq.m.) Built-up Area","₹ 1.1 Cr
₹ 11,000/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 21 Ghansoli,"890 sq.ft.
(83 sq.m.) Super built-up Area","₹ 1.05 Cr
₹ 11,797/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 21 Ghansoli,"705 sq.ft.
(66 sq.m.) Super built-up Area","₹ 70 L
₹ 9,929/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector 23 Ulwe,"1,682 sq.ft.
(156 sq.m.) Super built-up Area","₹ 1.56 Cr
₹ 9,274/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-16 Ulwe,"1,040 sq.ft.
(97 sq.m.) Super built-up Area","₹ 72 L
₹ 6,923/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Ghansoli,"693 sq.ft.
(64 sq.m.) Super built-up Area","₹ 86.7 L
₹ 12,510/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in New Panvel,"1,215 sq.ft.
(113 sq.m.) Super built-up Area","₹ 77.5 L
₹ 6,378/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in New Panvel,"1,059 sq.ft.
(98 sq.m.) Super built-up Area","₹ 74 L
₹ 6,987/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in New Panvel,"1,215 sq.ft.
(113 sq.m.) Super built-up Area","₹ 77 L
₹ 10,860/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-9 Ulwe,"1,164 sq.ft.
(108 sq.m.) Super built-up Area","₹ 95 L
₹ 8,161/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-48 Seawoods,"451 sq.ft.
(42 sq.m.) Built-up Area","₹ 70 L
₹ 15,521/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Ulwe,"1,150 sq.ft.
(107 sq.m.) Built-up Area","₹ 77 L
₹ 6,695/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Shilphata,"600 sq.ft.
(56 sq.m.) Super built-up Area","₹ 29 L
₹ 4,833/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 23 Ulwe,"620 sq.ft.
(58 sq.m.) Super built-up Area","₹ 40 L
₹ 7,258/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Panvel,"1,850 sq.ft.
(172 sq.m.) Built-up Area","₹ 1 Cr
₹ 5,405/sq.ft.","3 BHK
3 Baths"
4 BHK Apartment in Panvel,"3,000 sq.ft.
(279 sq.m.) Built-up Area","₹ 1.9 Cr
₹ 6,333/sq.ft.","4 BHK
4 Baths"
"2 BHK Apartment in Sanpada, Near Railway station","551 sq.ft.
(51 sq.m.) Carpet Area","₹ 1 Cr
₹ 18,148/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"850 sq.ft.
(79 sq.m.) Carpet Area","₹ 70 L
₹ 8,235/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ulwe,"1,160 sq.ft.
(108 sq.m.) Super built-up Area","₹ 94 L
₹ 8,103/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-9 Ulwe,"1,240 sq.ft.
(115 sq.m.) Super built-up Area","₹ 1.23 Cr
₹ 9,919/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Kamothe,"650 sq.ft.
(60 sq.m.) Built-up Area","₹ 62 L
₹ 9,538/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Kamothe,"650 sq.ft.
(60 sq.m.) Built-up Area","₹ 62 L
₹ 9,538/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Airoli,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 1.35 Cr
₹ 12,272/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-25 Kamothe,"686 sq.ft.
(64 sq.m.) Built-up Area","₹ 62 L
₹ 9,037/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,250 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1.8 Cr
₹ 14,400/sq.ft.","2 BHK
2 Baths"
"2 BHK Apartment in Plot No-106,Sector 21 Ulwe, Navi Mumbai","998 sq.ft.
(93 sq.m.) Super built-up Area","₹ 75 L
₹ 7,515/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Karanjade,"1,005 sq.ft.
(93 sq.m.) Super built-up Area","₹ 51 L
₹ 5,074/sq.ft.","2 BHK
1 Bath"
2 BHK Apartment in Sector-8 Kharghar,"1,250 sq.ft.
(116 sq.m.) Carpet Area","₹ 1.3 Cr
₹ 10,400/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Karanjade,"590 sq.ft.
(55 sq.m.) Super built-up Area","₹ 33.75 L
₹ 5,720/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 21 Kharghar,"1,130 sq.ft.
(105 sq.m.) Super built-up Area","₹ 1.15 Cr
₹ 10,176/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,295 sq.ft.
(120 sq.m.) Super built-up Area","₹ 1.25 Cr
₹ 9,652/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-19 Airoli,"1,050 sq.ft.
(98 sq.m.) Super built-up Area","₹ 1.4 Cr
₹ 13,333/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 22 Kamothe,"640 sq.ft.
(59 sq.m.) Super built-up Area","₹ 54.1 L
₹ 8,453/sq.ft.","1 BHK
2 Baths"
3 BHK Apartment in Sector 20 Kharghar,"1,500 sq.ft.
(139 sq.m.) Super built-up Area","₹ 1.75 Cr
₹ 11,666/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 20 Kharghar,"1,530 sq.ft.
(142 sq.m.) Super built-up Area","₹ 1.75 Cr
₹ 11,437/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 19 Kharghar,"1,990 sq.ft.
(185 sq.m.) Super built-up Area","₹ 1.95 Cr
₹ 9,798/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 20 Kharghar,"1,498 sq.ft.
(139 sq.m.) Super built-up Area","₹ 1.75 Cr
₹ 11,682/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 18 Kamothe,"1,230 sq.ft.
(114 sq.m.) Super built-up Area","₹ 88 L
₹ 7,154/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Airoli,"1,010 sq.ft.
(94 sq.m.) Super built-up Area","₹ 1.26 Cr
₹ 12,475/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Seawoods,"1,070 sq.ft.
(99 sq.m.) Super built-up Area","₹ 1.6 Cr
₹ 14,953/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Ghansoli,"950 sq.ft.
(88 sq.m.) Carpet Area","₹ 2.15 Cr
₹ 22,631/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Kamothe,"1,120 sq.ft.
(104 sq.m.) Built-up Area","₹ 95 L
₹ 8,482/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 1 Sanpada,"385 sq.ft.
(36 sq.m.) Carpet Area","₹ 85 L
₹ 22,077/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Usarli Khurd,"453 sq.ft.
(42 sq.m.) Carpet Area","₹ 45 L
₹ 9,933/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Ghansoli,"1,319 sq.ft.
(123 sq.m.) Super built-up Area","₹ 1.9 Cr
₹ 14,404/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Palm Beach,"800 sq.ft.
(74 sq.m.) Carpet Area","₹ 2.35 Cr
₹ 29,375/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Ulwe,"610 sq.ft.
(57 sq.m.) Super built-up Area","₹ 40.25 L
₹ 6,721/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 20 Ulwe,"950 sq.ft.
(88 sq.m.) Built-up Area","₹ 71 L
₹ 7,473/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-18 Ulwe,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 90 L
₹ 7,826/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ulwe,"1,365 sq.ft.
(127 sq.m.) Built-up Area","₹ 1.25 Cr
₹ 9,157/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-8 Ulwe,"1,170 sq.ft.
(109 sq.m.) Super built-up Area","₹ 90 L
₹ 7,692/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Ulwe,"1,850 sq.ft.
(172 sq.m.) Built-up Area","₹ 1.55 Cr
₹ 8,378/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-9 Ulwe,"1,250 sq.ft.
(116 sq.m.) Built-up Area","₹ 1.15 Cr
₹ 9,200/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 17 Ulwe,"1,125 sq.ft.
(105 sq.m.) Built-up Area","₹ 82 L
₹ 7,288/sq.ft.","2 BHK
2 Baths"
4 BHK Apartment in Sector 11 Koparkhairane,"2,200 sq.ft.
(204 sq.m.) Super built-up Area","₹ 3.25 Cr
₹ 14,772/sq.ft.","4 BHK
4 Baths"
3 BHK Apartment in Sector 20 Ulwe,"1,400 sq.ft.
(130 sq.m.) Built-up Area","₹ 1.2 Cr
₹ 8,571/sq.ft.","3 BHK
2 Baths"
2 BHK Apartment in Sector-7 Kopar Khairane,"850 sq.ft.
(79 sq.m.) Built-up Area","₹ 1.35 Cr
₹ 15,882/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-19 Koper Khairane,"650 sq.ft.
(60 sq.m.) Built-up Area","₹ 60 L
₹ 9,230/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 20 Airoli,"950 sq.ft.
(88 sq.m.) Super built-up Area","₹ 95 L
₹ 10,000/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 11 Koparkhairane,"675 sq.ft.
(63 sq.m.) Super built-up Area","₹ 85 L
₹ 12,592/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Ulwe,"1,240 sq.ft.
(115 sq.m.) Super built-up Area","₹ 1.2 Cr
₹ 9,677/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Karanjade,"550 sq.ft.
(51 sq.m.) Built-up Area","₹ 40 L
₹ 7,272/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Sector-9 Ghansoli,"490 sq.ft.
(46 sq.m.) Built-up Area","₹ 65 L
₹ 13,265/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Koperkhairane,"560 sq.ft.
(52 sq.m.) Built-up Area","₹ 75 L
₹ 13,392/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 19 Kamothe,"655 sq.ft.
(61 sq.m.) Built-up Area","₹ 56 L
₹ 8,549/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Palm Beach,"1,440 sq.ft.
(134 sq.m.) Super built-up Area","₹ 2.4 Cr
₹ 16,666/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kamothe,"1,000 sq.ft.
(93 sq.m.) Super built-up Area","₹ 80 L
₹ 8,000/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Ulwe,"1,850 sq.ft.
(172 sq.m.) Super built-up Area","₹ 1.85 Cr
₹ 10,000/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-28 Nerul,"1,200 sq.ft.
(111 sq.m.) Built-up Area","₹ 1.59 Cr
₹ 13,250/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-46 Seawoods,"1,450 sq.ft.
(135 sq.m.) Carpet Area","₹ 4 Cr
₹ 27,586/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Kalamboli,"1,340 sq.ft.
(124 sq.m.) Built-up Area","₹ 90 L
₹ 6,716/sq.ft.","3 BHK
2 Baths"
1 BHK Apartment in Airoli,"625 sq.ft.
(58 sq.m.) Super built-up Area","₹ 72 L
₹ 11,520/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 19 Ulwe,"1,180 sq.ft.
(110 sq.m.) Built-up Area","₹ 83 L
₹ 7,033/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kamothe,"700 sq.ft.
(65 sq.m.) Carpet Area","₹ 90 L
₹ 12,857/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Palm Beach,"1,000 sq.ft.
(93 sq.m.) Super built-up Area","₹ 2.5 Cr
₹ 25,000/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-19 Airoli,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 1.35 Cr
₹ 11,739/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-6 Airoli,"650 sq.ft.
(60 sq.m.) Super built-up Area","₹ 88 L
₹ 13,538/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-8A Airoli,"965 sq.ft.
(90 sq.m.) Super built-up Area","₹ 1 Cr
₹ 10,362/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Roadpali,"1,115 sq.ft.
(104 sq.m.) Super built-up Area","₹ 76 L
₹ 6,816/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Roadpali,"680 sq.ft.
(63 sq.m.) Super built-up Area","₹ 61 L
₹ 8,970/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Roadpali,"695 sq.ft.
(65 sq.m.) Super built-up Area","₹ 49 L
₹ 7,050/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Ghansoli,"900 sq.ft.
(84 sq.m.) Built-up Area","₹ 1.67 Cr
₹ 18,555/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 21 Ghansoli,"9,041 sq.ft.
(840 sq.m.) Built-up Area","₹ 65 L
₹ 719/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 20 Kamothe,"595 sq.ft.
(55 sq.m.) Super built-up Area","₹ 42 L
₹ 7,058/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Roadpali,"1,240 sq.ft.
(115 sq.m.) Super built-up Area","₹ 85 L
₹ 6,854/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 22 Kamothe,"1,100 sq.ft.
(102 sq.m.) Carpet Area","₹ 75 L
₹ 6,818/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 22 Kamothe,"1,085 sq.ft.
(101 sq.m.) Built-up Area","₹ 78 L
₹ 7,188/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Koperkhairane,"12,400 sq.ft.
(1152 sq.m.) Built-up Area","₹ 1.9 Cr
₹ 1,532/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Sector-25 Khandeshhwar,"688 sq.ft.
(64 sq.m.) Carpet Area","₹ 62 L
₹ 9,011/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector-15 Ghansoli,"1,555 sq.ft.
(144 sq.m.) Super built-up Area","₹ 1.65 Cr
₹ 10,610/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Jijamata Nagar,"1,650 sq.ft.
(153 sq.m.) Built-up Area","₹ 2.65 Cr
₹ 16,060/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Sector-15 Ghansoli,"450 sq.ft.
(42 sq.m.) Carpet Area","₹ 85 L
₹ 18,888/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-15 Ghansoli,"750 sq.ft.
(70 sq.m.) Carpet Area","₹ 1.66 Cr
₹ 22,133/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-15 Ghansoli,"900 sq.ft.
(84 sq.m.) Built-up Area","₹ 1.65 Cr
₹ 18,333/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Karanjade,"655 sq.ft.
(61 sq.m.) Super built-up Area","₹ 42 L
₹ 6,412/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Karanjade,"615 sq.ft.
(57 sq.m.) Built-up Area","₹ 36 L
₹ 5,853/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Sector-15 Ghansoli,"710 sq.ft.
(66 sq.m.) Super built-up Area","₹ 70 L
₹ 9,859/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Kamothe,"425 sq.ft.
(39 sq.m.) Carpet Area","₹ 48 L
₹ 11,294/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Sector 5 Ulwe,"680 sq.ft.
(63 sq.m.) Super built-up Area","₹ 48 L
₹ 7,058/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-35 Kamothe,"1,095 sq.ft.
(102 sq.m.) Super built-up Area","₹ 95 L
₹ 8,675/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 19 Ulwe,"650 sq.ft.
(60 sq.m.) Super built-up Area","₹ 61 L
₹ 9,384/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Sector 19 Kamothe,"1,165 sq.ft.
(108 sq.m.) Carpet Area","₹ 95 L
₹ 8,154/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 15 Kamothe,"1,130 sq.ft.
(105 sq.m.) Carpet Area","₹ 77 L
₹ 6,814/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Ghansoli,"1,775 sq.ft.
(165 sq.m.) Built-up Area","₹ 2.15 Cr
₹ 12,112/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-15 Ghansoli,"1,140 sq.ft.
(106 sq.m.) Super built-up Area","₹ 1.65 Cr
₹ 14,473/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kalamboli,"1,089 sq.ft.
(101 sq.m.) Super built-up Area","₹ 76 L
₹ 6,978/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 17 Ulwe,"1,150 sq.ft.
(107 sq.m.) Built-up Area","₹ 1.15 Cr
₹ 10,000/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 19 Ulwe,"700 sq.ft.
(65 sq.m.) Carpet Area","₹ 96 L
₹ 13,714/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-14 Koparkhairane,"1,320 sq.ft.
(123 sq.m.) Super built-up Area","₹ 2.1 Cr
₹ 15,909/sq.ft.","3 BHK
2 Baths"
2 BHK Apartment in Sector 17 Ulwe,"1,000 sq.ft.
(93 sq.m.) Built-up Area","₹ 78 L
₹ 7,800/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-2A Kopar Khairane,"1,050 sq.ft.
(98 sq.m.) Super built-up Area","₹ 1.1 Cr
₹ 10,476/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-8 Ghansoli,"635 sq.ft.
(59 sq.m.) Super built-up Area","₹ 88 L
₹ 13,858/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Ghansoli,"813 sq.ft.
(76 sq.m.) Super built-up Area","₹ 1.2 Cr
₹ 14,760/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kalamboli,"1,085 sq.ft.
(101 sq.m.) Super built-up Area","₹ 85 L
₹ 7,834/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-17 Kopar Khairane,"400 sq.ft.
(37 sq.m.) Carpet Area","₹ 85 L
₹ 21,250/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Seawoods,"1,080 sq.ft.
(100 sq.m.) Super built-up Area","₹ 1.2 Cr
₹ 11,111/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-6 Kharghar,"1,235 sq.ft.
(115 sq.m.) Super built-up Area","₹ 1.5 Cr
₹ 12,145/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Karanjade,"675 sq.ft.
(63 sq.m.) Super built-up Area","₹ 47 L
₹ 6,962/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Sector 36 Kharghar,"1,170 sq.ft.
(109 sq.m.) Super built-up Area","₹ 95 L
₹ 8,119/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-35E Kharghar,"830 sq.ft.
(77 sq.m.) Carpet Area","₹ 1.2 Cr
₹ 14,457/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-35E Kharghar,"1,600 sq.ft.
(149 sq.m.) Super built-up Area","₹ 1.73 Cr
₹ 9,688/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Kharghar,"1,350 sq.ft.
(125 sq.m.) Super built-up Area","₹ 1.46 Cr
₹ 10,814/sq.ft.","3 BHK
2 Baths"
2 BHK Apartment in Sector-35G Kharghar,"1,078 sq.ft.
(100 sq.m.) Super built-up Area","₹ 1.05 Cr
₹ 9,740/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 19 Kharghar,"1,335 sq.ft.
(124 sq.m.) Super built-up Area","₹ 1.35 Cr
₹ 10,112/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Kalamboli,"707 sq.ft.
(66 sq.m.) Super built-up Area","₹ 52 L
₹ 7,355/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Roadpali,"695 sq.ft.
(65 sq.m.) Built-up Area","₹ 46 L
₹ 6,618/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Roadpali,"695 sq.ft.
(65 sq.m.) Built-up Area","₹ 43 L
₹ 6,187/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Roadpali,"1,145 sq.ft.
(106 sq.m.) Built-up Area","₹ 88 L
₹ 7,685/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-18 Ulwe,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 98.92 L
₹ 8,601/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-58 Seawoods,"1,750 sq.ft.
(163 sq.m.) Built-up Area","₹ 3.75 Cr
₹ 21,428/sq.ft.","3 BHK
3 Baths"
4 BHK Apartment in Sector-8 Sanpada,"2,400 sq.ft.
(223 sq.m.) Built-up Area","₹ 3.75 Cr
₹ 15,625/sq.ft.","4 BHK
4 Baths"
2 BHK Apartment in Sector-18 Ulwe,"1,137 sq.ft.
(106 sq.m.) Built-up Area","₹ 98 L
₹ 8,619/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 21 Ulwe,"1,120 sq.ft.
(104 sq.m.) Super built-up Area","₹ 80 L
₹ 7,142/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ulwe,"1,350 sq.ft.
(125 sq.m.) Super built-up Area","₹ 1.15 Cr
₹ 8,519/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 19 Ulwe,"1,180 sq.ft.
(110 sq.m.) Built-up Area","₹ 82 L
₹ 6,949/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 8 Airoli,"650 sq.ft.
(60 sq.m.) Super built-up Area","₹ 69 L
₹ 10,615/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in New Panvel,"1,299 sq.ft.
(121 sq.m.) Super built-up Area","₹ 70 L
₹ 5,388/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in sector 17 ulwe,"550 sq.ft.
(51 sq.m.) Built-up Area","₹ 34 L
₹ 6,181/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 17 Ulwe,"420 sq.ft.
(39 sq.m.) Carpet Area","₹ 37 L
₹ 8,809/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 20 Ulwe,"600 sq.ft.
(56 sq.m.) Built-up Area","₹ 65 L
₹ 10,833/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Sector 17 Ulwe,"1,100 sq.ft.
(102 sq.m.) Built-up Area","₹ 84 L
₹ 7,636/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 17 Ulwe,"1,100 sq.ft.
(102 sq.m.) Built-up Area","₹ 85 L
₹ 7,727/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 36 Kamothe,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 1.1 Cr
₹ 10,000/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 18 Kamothe,"1,020 sq.ft.
(95 sq.m.) Built-up Area","₹ 75 L
₹ 7,352/sq.ft.","2 BHK
2 Baths"
